u,v,p
-0.0745214,-0.0534168,0.0311184
-0.0683237,-0.0582692,0.0346835
-0.0614683,-0.0620867,0.0377214
-0.054065,-0.0646373,0.0401531
-0.0462613,-0.0656815,0.0419212
-0.038251,-0.0649845,0.042941
-0.030263,-0.0623323,0.0432256
-0.0225869,-0.0575448,0.0426086
-0.0155034,-0.0505012,0.0413933
-0.00942335,-0.041138,0.0388658
-0.00453515,-0.0295055,0.0367275
-0.0015742,-0.0156817,0.0311797
0,0,0.0311797
0,0,-0.0447766
-0.00167058,0.0176822,-0.0447766
-0.00476905,0.0329246,-0.0504817
-0.00982312,0.0454961,-0.0525646
-0.0160423,0.0554197,-0.0550431
-0.0232284,0.0627529,-0.0561946
-0.0309678,0.0676565,-0.0568028
-0.0389954,0.0703344,-0.0565809
-0.0470445,0.0710295,-0.0557156
-0.054914,0.0699974,-0.054193
-0.0624377,0.0674938,-0.052088
-0.069492,0.0637604,-0.0494362
-0.0759855,0.0590175,-0.0462892
-0.081855,0.0534583,-0.0426896
-0.0870583,0.0472471,-0.038682
-0.091569,0.0405196,-0.034309
-0.095371,0.0333855,-0.0296132
-0.0984545,0.0259319,-0.0246374
-0.100811,0.0182278,-0.0194252
-0.102434,0.0103291,-0.0140216
-0.10331,0.00228434,-0.00847404
-0.103426,-0.0058597,-0.00283267
-0.102763,-0.0140522,0.0028486
-0.101298,-0.0222323,0.00851149
-0.0990091,-0.0303231,0.0140927
-0.0958734,-0.0382261,0.0195236
-0.0918747,-0.0458165,0.0247298
-0.0870074,-0.0529388,0.0296313
-0.0812832,-0.0594052,0.0341439
-0.0747383,-0.0649954,0.0381786
-0.0674408,-0.0694599,0.0416484
-0.0594992,-0.0725267,0.04446
-0.0510666,-0.073912,0.0465435
-0.042351,-0.0733338,0.0477963
-0.0336036,-0.0705317,0.0482255
-0.0251486,-0.0652826,0.0476364
-0.0173052,-0.0574312,0.0463629
-0.0105426,-0.046889,0.043597
-0.00508383,-0.0337009,0.0412463
-0.00176731,-0.0179451,0.0350453
0,0,0.0350453
0,0,-0.0499796
-0.00185519,0.0200513,-0.0499796
